dataset,count,method,dimensions,rho.seuclidean
baron-mouse,counts,srp,4,0.39904840133165914
baron-mouse,counts,srp,32,0.6337968122162241
baron-mouse,counts,srp,2,0.3126053116872378
baron-mouse,counts,srp,16,0.39692070271257446
baron-mouse,counts,srp,96,0.7466874933707499
baron-mouse,counts,srp,8,0.41296082485434166
baron-mouse,counts,srp,48,0.7140447695034013
baron-mouse,counts,psmf,4,0.4738575146541999
baron-mouse,counts,psmf,32,0.6359206076653157
baron-mouse,counts,psmf,2,0.30689358553749335
baron-mouse,counts,psmf,16,0.5962106080039361
baron-mouse,counts,psmf,96,0.6681512262450856
baron-mouse,counts,psmf,8,0.5190489262800203
baron-mouse,counts,psmf,48,0.6180256098937563
baron-mouse,counts,fica,4,-0.11631931058698651
baron-mouse,counts,fica,32,0.30608858839207137
baron-mouse,counts,fica,2,-0.18148300223126818
baron-mouse,counts,fica,16,0.10675161522741122
baron-mouse,counts,fica,96,0.6730253622765368
baron-mouse,counts,fica,8,-0.172955869830665
baron-mouse,counts,fica,48,0.42919368497256044
baron-mouse,counts,lle,4,0.18989652784787261
baron-mouse,counts,lle,32,-0.09086361595794998
baron-mouse,counts,lle,2,0.22203734547291057
baron-mouse,counts,lle,16,-0.06290119809344152
baron-mouse,counts,lle,96,-0.21560641148814488
baron-mouse,counts,lle,8,0.05215300729681149
