dataset,count,method,dimensions,rho.cosine
baron-mouse,counts,grp,48,0.8924295482936885
baron-mouse,counts,grp,32,0.7326877427519035
baron-mouse,counts,grp,2,0.45437071211143504
baron-mouse,counts,grp,4,0.6334894676663585
baron-mouse,counts,grp,8,0.8199059381002131
baron-mouse,counts,grp,16,0.8761581712783532
baron-mouse,counts,pmf,96,0.6606013511998553
baron-mouse,counts,pmf,48,0.6584164315592945
baron-mouse,counts,pmf,32,0.6997323648697821
baron-mouse,counts,pmf,2,0.2747538600565146
baron-mouse,counts,pmf,4,0.6113610718778318
baron-mouse,counts,pmf,8,0.8026241207303274
baron-mouse,counts,pmf,16,0.7215380989330413
baron-mouse,counts,ipca,96,0.4530850971875049
baron-mouse,counts,ipca,48,0.44994636221472
baron-mouse,counts,ipca,32,0.44794977419701903
baron-mouse,counts,ipca,2,0.38974183758609066
baron-mouse,counts,ipca,4,0.42718945031681393
baron-mouse,counts,ipca,8,0.42797028914741114
baron-mouse,counts,ipca,16,0.44288914581530725
baron-mouse,counts,lda,96,0.5595993294685268
baron-mouse,counts,lda,48,0.6270516368203201
baron-mouse,counts,lda,32,0.6449187272880063
baron-mouse,counts,lda,2,0.5006571314506213
baron-mouse,counts,lda,4,0.4878579194772325
baron-mouse,counts,lda,8,0.775264858468582
baron-mouse,counts,lda,16,0.7187865241320869
baron-mouse,counts,tga,96,0.4288498302498367
baron-mouse,counts,tga,48,0.42921992716377716
baron-mouse,counts,tga,32,0.427523233498291
baron-mouse,counts,tga,2,0.4451443727177172
baron-mouse,counts,tga,4,0.41752335161656534
baron-mouse,counts,tga,8,0.4168734403316122
baron-mouse,counts,tga,16,0.41023975111237954
baron-mouse,counts,kpca-sig,96,nan
baron-mouse,counts,kpca-sig,48,nan
baron-mouse,counts,kpca-sig,32,nan
baron-mouse,counts,kpca-sig,2,nan
baron-mouse,counts,kpca-sig,4,nan
baron-mouse,counts,kpca-sig,8,nan
baron-mouse,counts,kpca-sig,16,nan
baron-mouse,counts,umap,96,0.48464153861907666
baron-mouse,counts,umap,48,0.4444958972191899
baron-mouse,counts,umap,32,0.4469717237231977
baron-mouse,counts,umap,2,0.58130051028583
baron-mouse,counts,umap,4,0.4883593117401957
baron-mouse,counts,umap,8,0.4925020825494848
baron-mouse,counts,umap,16,0.4558878274275265
baron-mouse,counts,phate,96,0.3763360461062159
baron-mouse,counts,phate,48,0.3764770307955199
baron-mouse,counts,phate,32,0.3763555217630049
baron-mouse,counts,phate,2,0.37196886839643867
baron-mouse,counts,phate,4,0.3781229738295567
baron-mouse,counts,phate,8,0.37639885357364794
baron-mouse,counts,phate,16,0.3761033859129014
baron-mouse,counts,fica,96,0.168047837231118
baron-mouse,counts,fica,48,0.22212397369974182
baron-mouse,counts,fica,32,0.26002105486767446
baron-mouse,counts,fica,2,0.39901428832538155
baron-mouse,counts,fica,4,0.4925967097516601
baron-mouse,counts,fica,8,0.35190577405776535
baron-mouse,counts,fica,16,0.32572294280074743
baron-mouse,counts,isomap,96,0.5017046077462237
baron-mouse,counts,isomap,48,0.4980043684675586
baron-mouse,counts,isomap,32,0.4959501771220799
baron-mouse,counts,isomap,2,0.43127560552734323
baron-mouse,counts,isomap,4,0.46460336976214683
baron-mouse,counts,isomap,8,0.4755234809612883
baron-mouse,counts,isomap,16,0.48747311472849697
baron-mouse,counts,tsvd,96,0.9987329047993333
baron-mouse,counts,tsvd,48,0.9977723782507195
baron-mouse,counts,tsvd,32,0.9966676548336343
baron-mouse,counts,tsvd,2,0.8612132221936967
baron-mouse,counts,tsvd,4,0.895458655128359
baron-mouse,counts,tsvd,8,0.95664056869852
baron-mouse,counts,tsvd,16,0.9922585893179305
baron-mouse,counts,vpac,96,0.26538612443185133
