Dataset,Method,Dimensions,realM,realS,userM,userS,sysM,sysS
campbell,mds,60,11,35.468,22,1.458,1,54.948
campbell,fa,60,27,8.767,152,56.861,22,29.908
campbell,fica,60,40,8.512,352,44.864,2,59.235
campbell,nmf,60,26,7.769,180,15.388,21,32.114
campbell,lda,60,78,54.854,358,36.003,461,25.197
campbell,mctsne,60,23,7.414,134,9.689,1,55.019
campbell,umap,70,106,50.018,104,56.155,1,11.081
campbell,pca,70,10,1.278,12,26.624,1,2.971
campbell,isomap,70,91,44.023,826,31.676,21,26.433
campbell,lle,70,78,58.602,750,34.130,9,16.390
campbell,spectral,70,80,38.375,822,45.670,1,16.881
campbell,fa,70,24,32.029,135,1.732,18,17.376
campbell,fica,70,39,43.107,355,20.036,2,47.476
campbell,nmf,70,27,50.921,194,31.715,21,12.080
campbell,lda,70,77,48.559,343,50.583,459,8.476
campbell,mctsne,70,25,17.821,153,29.609,1,34.910
campbell,umap,80,163,25.575,160,21.009,2,8.821
campbell,pca,80,10,19.172,13,8.447,0,58.807
campbell,isomap,80,84,6.751,754,20.167,8,42.187
campbell,lle,80,78,12.032,750,21.015,9,18.369
campbell,spectral,80,80,58.402,820,37.426,1,18.922
campbell,mds,80,11,50.492,22,45.997,2,10.376
campbell,fa,80,23,8.901,128,13.528,15,11.289
campbell,fica,80,39,56.753,353,17.201,3,45.041
campbell,nmf,80,26,36.828,172,8.817,25,25.251
campbell,lda,80,87,58.932,383,51.355,533,25.413
campbell,mctsne,80,1544,58.368,1854,37.815,4,6.937
campbell,umap,90,108,49.872,106,52.552,1,7.292
campbell,pca,90,10,31.229,12,53.075,1,12.167
campbell,isomap,90,88,17.264,754,42.082,10,59.950
campbell,lle,90,78,17.212,750,31.398,9,19.600
campbell,spectral,90,82,1.186,822,21.298,3,2.055
campbell,mds,90,11,54.118,21,55.995,2,3.715
campbell,fa,90,25,11.707,135,34.311,21,28.930
campbell,fica,90,39,57.492,354,50.024,3,45.992
campbell,nmf,90,30,23.912,203,21.974,21,55.344
campbell,lda,90,99,26.174,482,8.269,578,33.084
campbell,mctsne,90,23,19.818,134,28.458,2,13.510
campbell,umap,100,161,16.335,158,41.364,2,14.901
campbell,pca,100,10,25.674,13,8.676,0,57.735
campbell,isomap,100,93,44.772,827,40.331,24,13.244
campbell,lle,100,99,20.588,948,5.602,9,31.168
campbell,spectral,100,81,5.744,819,25.708,1,45.675
campbell,fa,100,24,1.430,137,53.005,14,49.107
campbell,fica,100,41,17.063,359,12.086,4,55.412
campbell,nmf,100,30,18.196,195,19.736,25,6.132
campbell,lda,100,104,23.941,539,35.433,575,47.655
campbell,mctsne,100,25,41.941,161,20.222,1,45.036
campbell,umap,125,101,46.495,101,10.954,0,59.584
campbell,pca,125,10,39.576,13,48.902,0,52.718
campbell,isomap,125,84,35.093,755,38.233,10,9.399
campbell,lle,125,77,41.583,748,14.297,8,47.028
campbell,mds,125,11,52.148,22,47.978,2,25.489
campbell,spectral,125,81,48.025,825,49.466,2,17.801
campbell,fa,125,28,55.815,181,42.252,19,17.466
campbell,fica,125,40,1.568,353,52.001,4,37.690
campbell,nmf,125,32,35.250,211,31.247,26,35.030
campbell,lda,125,112,40.188,560,22.745,642,11.851
campbell,mctsne,125,23,14.563,134,28.691,2,13.450
